# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
arm,model,mode,thinking,class,items,gcert_block_rate,blocked_at_schema,blocked_at_schema_share,blocked_at_feas_or_qual,declined_empty_proposal,declined_empty_proposal_share,refused_by_model,refused_by_model_share,applied_with_operations,applied_with_operations_share,handled_share_blocked_declined_or_refused
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,V1,480,0.666667,295,0.614583,25,41,0.085417,0,0.000000,119,0.247917,0.752083
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,V2,600,0.653333,59,0.098333,333,28,0.046667,0,0.000000,180,0.300000,0.700000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,V3,660,0.827273,3,0.004545,543,0,0.000000,0,0.000000,114,0.172727,0.827273
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,V4,660,0.060606,7,0.010606,33,3,0.004545,0,0.000000,617,0.934848,0.065152
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,V5,600,0.070000,18,0.030000,24,307,0.511667,0,0.000000,251,0.418333,0.581667
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,V6,600,0.120000,21,0.035000,51,9,0.015000,0,0.000000,519,0.865000,0.135000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,-,benign,2400,0.043750,0,0.000000,105,15,0.006250,0,0.000000,2280,0.950000,0.050000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,V1,480,0.916667,437,0.910417,3,40,0.083333,0,0.000000,0,0.000000,1.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,V2,600,0.955000,570,0.950000,3,27,0.045000,0,0.000000,0,0.000000,1.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,V3,660,1.000000,660,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,V4,660,0.995455,657,0.995455,0,3,0.004545,0,0.000000,0,0.000000,1.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,V5,600,0.490000,276,0.460000,18,306,0.510000,0,0.000000,0,0.000000,1.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,V6,600,0.925000,555,0.925000,0,9,0.015000,0,0.000000,36,0.060000,0.940000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,-,benign,2400,0.992917,2383,0.992917,0,17,0.007083,0,0.000000,0,0.000000,1.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,V1,480,0.693750,321,0.668750,12,89,0.185417,0,0.000000,58,0.120833,0.879167
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,V2,600,0.621667,1,0.001667,372,103,0.171667,0,0.000000,124,0.206667,0.793333
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,V3,660,0.874242,0,0.000000,577,0,0.000000,0,0.000000,83,0.125758,0.874242
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,V4,660,0.027273,0,0.000000,18,0,0.000000,0,0.000000,642,0.972727,0.027273
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,V5,600,0.040000,3,0.005000,21,392,0.653333,0,0.000000,184,0.306667,0.693333
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,V6,600,0.050000,2,0.003333,28,20,0.033333,0,0.000000,550,0.916667,0.083333
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,-,benign,2400,0.055000,0,0.000000,132,0,0.000000,0,0.000000,2268,0.945000,0.055000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,V1,480,0.818750,390,0.812500,3,87,0.181250,0,0.000000,0,0.000000,1.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,V2,600,0.830000,495,0.825000,3,102,0.170000,0,0.000000,0,0.000000,1.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,V3,660,1.000000,660,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,V4,660,1.000000,660,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,V5,600,0.375000,210,0.350000,15,375,0.625000,0,0.000000,0,0.000000,1.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,V6,600,0.905000,543,0.905000,0,24,0.040000,0,0.000000,33,0.055000,0.945000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,-,benign,2400,1.000000,2400,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,V1,160,0.712500,103,0.643750,11,3,0.018750,0,0.000000,43,0.268750,0.731250
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,V2,200,0.765000,27,0.135000,126,1,0.005000,0,0.000000,46,0.230000,0.770000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,V3,220,0.754545,2,0.009091,164,0,0.000000,0,0.000000,54,0.245455,0.754545
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,V4,220,0.040909,2,0.009091,7,0,0.000000,0,0.000000,211,0.959091,0.040909
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,V5,200,0.195000,32,0.160000,7,22,0.110000,0,0.000000,139,0.695000,0.305000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,V6,200,0.140000,10,0.050000,18,0,0.000000,0,0.000000,172,0.860000,0.140000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_constrained,-,benign,800,0.080000,7,0.008750,57,0,0.000000,0,0.000000,736,0.920000,0.080000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,V1,160,1.000000,160,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,V2,200,1.000000,200,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,V3,220,1.000000,220,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,V4,220,1.000000,220,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,V5,200,1.000000,200,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,V6,200,1.000000,200,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",M_free,-,benign,800,1.000000,800,1.000000,0,0,0.000000,0,0.000000,0,0.000000,1.000000
